Titel in Originalschrift,Titel,Person/Institution,Weitere Beteiligte,Verantwort.angabe,Quelle,Werktitel,Ort/Verlag,Jahr/Datierung,Weitere Angaben,Umfang/Illustr./Format,Verknüpfte Titel,Sprache,Jahr/Datierung,Weitere Titel,Ausgabe,Schlagwörter,Regensburger Verbundklassifikation,Basisklassifikation,Ordnungsgruppe,ISBN/ISSN/ISMN,Beschreibung,Einzelbände/Artikel,Linksammlung,Standort,Signaturen,Zum Inhalt,Incipit/Explicit,lds49,Univ. Angaben,Signatur/Inv-Nr. etc.,Bestandsangabe,Verfügbarkeit,Unselbst. Werk / Artikel,Bandangaben,Benutzungsrechte,Hinweis,Vorgänger/Nachfolger etc.,Zitierlink,Zitierlink,Permalink
,Das dreißigste Jahr : Erzählungen,"Bachmann, Ingeborg [VerfasserIn] ",,Ingeborg Bachmann,,,München,1971,,146 S.; 8°,,Deutsch,,Gesamttitel: Deutscher Taschenbuch Verlag 344,5. Aufl..,,,,,,,,,,,,,,,953948-B.344 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC11100204,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218162400003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg [VerfasserIn]",,Ingeborg Bachmann. Ceviren: Ahmet Cemal,,,Istanbul : B/F/S,1985,,322 S.; 8°,,Türkisch,,"Gesamttitel:  Bilim, Felsefe, Sanat Yayinlari;Gesamttitel: Anlati Dizisi 1",,,,,,,Anmerkungen:  [Türk.] ,,,,,,,,,1251548-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC11100017,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218161380003338&context=L&vid=ONB&lang=de_DE
,Undine geht : Erzählungen,"Bachmann, Ingeborg [VerfasserIn]",,Ingeborg Bachmann. Nachw. v. Christa Wolf,,,Leipzig,1976,,237 S.; 8°,,Deutsch,,Gesamttitel: Reclams Universalbibliothek 530 = Belletristik,"2., erw. Aufl..",,,,,,Anmerkungen:  [Teils.] ,,,,,,,,,1102092-A.530 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC11100021,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218164830003338&context=L&vid=ONB&lang=de_DE
,The thirtieth year,"Bachmann, Ingeborg [VerfasserIn]",,Ingeborg Bachmann. Transl. by Michael Bullock,,Das dreißigste Jahr,London : Deutsch,1964,,187 S.; 8°,,Englisch,,,1. publ..,,,,,,,,,,,,,,,982400-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC11172025,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218162280003338&context=L&vid=ONB&lang=de_DE
,Die kritische Aufnahme der Existenzialphilosophie Martin Heideggers,"Bachmann, Ingeborg [VerfasserIn] ",,Ingeborg Bachmann,,,,1949,,130 Bl.,,Deutsch,,,[Mikrofilm-Ausg.].,,,,,,"Anmerkungen:  Mikrofilm-Ausg. : Wien : ÖNB, 1983. 1 Mikrofilm : 35 mm ",,,,,,,,"Wien, Univ., Diss., 1950",1040-MF NEU MIK,,,,,,,,,http://data.onb.ac.at/rec/AC01495762,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339342170003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg [VerfasserIn] ",,,,Malina,Barcelona : Circulo de Lectores,2005,,*,,Spanisch,,,,,,,,ISBN: 8467206284,,,,,,,,,,NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05252639,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21226508820003338&context=L&vid=ONB&lang=de_DE
,Die kritische Aufnahme der Existenzialphilosophie Martin Heideggers,"Bachmann, Ingeborg [VerfasserIn] ",,eingereicht von Ingeborg Bachmann,,,,1949,,130 Bl.,,Deutsch,,,,,,,,,,,,,,,,,"Wien, Univ., Diss., 1950;Institution: Universität Wien",791352-C NEU SOND,,,,,,,,,http://data.onb.ac.at/rec/AC01495778,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339342050003338&context=L&vid=ONB&lang=de_DE
,Przypadek F.,"Bachmann, Ingeborg [VerfasserIn] ","Jachimczak, Krzysztof [ÜbersetzerIn] ",Ingeborg Bachmann. Przeł. Krzysztof Jachimczak,,Der Fall Franza,Kraków : Wydawn. Literackie,1997,,141 S.,,Polnisch,,Gesamttitel:  Pisarze języka niemieckiego,,,,,,ISBN: 8308027067,,,,,,,,,,1526056-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC02311786,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21343267330003338&context=L&vid=ONB&lang=de_DE
,Tri poti k jezeru;Weitere Titel:  Lajež,"Bachmann, Ingeborg [VerfasserIn] ","Jenčič, Lučka [ÜbersetzerIn] ",Ingeborg Bachmann. Iz nemščine preved. Lučka Jenčič ...,,Drei Wege zum See,Celovec [Klagenfurt] : Salzburg : Wieser,1990,,128 S.,,Slowenisch,,Gesamttitel:  Izbor avstrijske književnosti 20. stoletja,1. nakl..,,,,,,Anmerkungen:  Einheitssacht. d. beigef. Werkes: Das Gebell  ,,,,,,,,,1337447-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01503989,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339477740003338&context=L&vid=ONB&lang=de_DE
,Wybor poezji,"Bachmann, Ingeborg [VerfasserIn] ","Prokop, Grzegorz [HerausgeberIn] ",Ingeborg Bachmann. Wybral i wstepem opatrzyl Grzegorz Prokop,,Gedichte,Warszawa : Panstw. Inst. wyd,1976,,51 S.; 8°,,Polnisch,,,Wyd. 1.,,,,,,Anmerkungen:  [Ausgewählte Gedichte] ,,,,,,,,,1145367-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC11100190,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21218163040003338&context=L&vid=ONB&lang=de_DE
,Rok trzydziesty,"Bachmann, Ingeborg [VerfasserIn] ","Jachimczak, Krzysztof [ÜbersetzerIn] ",Ingeborg Bachmann. Przeł. Krzysztof Jachimczuk,,Das dreißigste Jahr,Kraków : Wydawn. Literackie,1994,,170 S.,,Polnisch,,,Wyd. 1.,,,,,ISBN: 8308025757,,,,,,,,,,1436292-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01096801,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21337795520003338&context=L&vid=ONB&lang=de_DE
,Il trentesimo anno,"Bachmann, Ingeborg [VerfasserIn] ","Olivetti, Magda [ÜbersetzerIn] ",Ingeborg Bachmann. [Trad. di Magda Olivetti],,Das dreißigste Jahr,Milano : Adelphi Ed.,1985,,195 S.,,Italienisch,,Gesamttitel: Fabula 2,,,,,,,,,,,,,,,,1250718-B.2 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC01497601,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21339461160003338&context=L&vid=ONB&lang=de_DE
